Voltage,constant Z Load,constant Z Load - real power P,constant I Load,constant I Load - real power P,constant P Load,constant P Load - real power P
0.8595595595595596,(0.9090909090909092-0.09090909090909094j),(1477.6852728604483+0j),(1.0576241040896914-0.10576241040896915j),(1719.1191191191192+0j),(1.2304256201066748-0.12304256201066746j),(2000+0j)
0.8602602602602603,(0.9090909090909092-0.0909090909090909j),(1480.0954307661013+0j),(1.0567626462436797-0.10567626462436797j),(1720.5205205205204+0j),(1.2284220195455384-0.12284220195455385j),(2000+0j)
0.860960960960961,(0.9090909090909091-0.0909090909090909j),(1482.5075525976429+0j),(1.0559025906078574-0.10559025906078572j),(1721.921921921922+0j),(1.2264233089376229-0.12264233089376228j),(2000+0j)
0.8616616616616617,(0.9090909090909091-0.09090909090909091j),(1484.9216383550718+0j),(1.0550439337614057-0.10550439337614058j),(1723.3233233233234+0j),(1.224429472383416-0.12244294723834162j),(2000+0j)
0.8623623623623624,(0.9090909090909091-0.09090909090909088j),(1487.337688038389+0j),(1.0541866722946236-0.10541866722946236j),(1724.7247247247249+0j),(1.222440494047973-0.1222440494047973j),(2000+0j)
0.8630630630630631,(0.9090909090909091-0.09090909090909091j),(1489.7557016475937+0j),(1.0533308028088821-0.10533308028088821j),(1726.1261261261263+0j),(1.2204563581606043-0.12204563581606043j),(2000+0j)
0.8637637637637638,(0.9090909090909091-0.0909090909090909j),(1492.1756791826865+0j),(1.0524763219165814-0.10524763219165816j),(1727.5275275275276+0j),(1.2184770490145609-0.12184770490145608j),(2000+0j)
0.8644644644644646,(0.9090909090909091-0.0909090909090909j),(1494.5976206436671+0j),(1.0516232262411045-0.10516232262411046j),(1728.928928928929+0j),(1.2165025509667247-0.12165025509667246j),(2000+0j)
0.8651651651651652,(0.9090909090909091-0.0909090909090909j),(1497.0215260305351+0j),(1.0507715124167745-0.10507715124167744j),(1730.3303303303303+0j),(1.2145328484372993-0.12145328484372993j),(2000+0j)
0.8658658658658659,(0.9090909090909091-0.0909090909090909j),(1499.4473953432914+0j),(1.049921177088807-0.10499211770888071j),(1731.7317317317318+0j),(1.2125679259095008-0.12125679259095008j),(2000+0j)
0.8665665665665666,(0.9090909090909091-0.0909090909090909j),(1501.8752285819355+0j),(1.04907221691327-0.104907221691327j),(1733.1331331331332+0j),(1.210607767929256-0.12106077679292562j),(2000+0j)
0.8672672672672673,(0.9090909090909092-0.09090909090909094j),(1504.3050257464674+0j),(1.0482246285570385-0.10482246285570386j),(1734.5345345345347+0j),(1.2086523591048952-0.12086523591048953j),(2000+0j)
0.867967967967968,(0.9090909090909091-0.09090909090909094j),(1506.7367868368872+0j),(1.047378408697749-0.10473784086977488j),(1735.9359359359362+0j),(1.2067016841068516-0.12067016841068519j),(2000+0j)
0.8686686686686687,(0.9090909090909091-0.09090909090909091j),(1509.1705118531943+0j),(1.046533554023759-0.10465335540237594j),(1737.3373373373372+0j),(1.2047557276673604-0.12047557276673604j),(2000+0j)
0.8693693693693694,(0.9090909090909091-0.09090909090909088j),(1511.6062007953901+0j),(1.0456900612341025-0.10456900612341025j),(1738.7387387387387+0j),(1.2028144745801592-0.12028144745801592j),(2000+0j)
0.8700700700700701,(0.9090909090909092-0.09090909090909094j),(1514.0438536634733+0j),(1.044847927038447-0.1044847927038447j),(1740.1401401401401+0j),(1.2008779097001938-0.12008779097001938j),(2000+0j)
0.8707707707707708,(0.9090909090909091-0.09090909090909091j),(1516.4834704574446+0j),(1.0440071481570503-0.10440071481570505j),(1741.5415415415416+0j),(1.1989460179433191-0.11989460179433194j),(2000+0j)
0.8714714714714715,(0.9090909090909092-0.09090909090909091j),(1518.9250511773037+0j),(1.043167721320719-0.10431677213207188j),(1742.942942942943+0j),(1.1970187842860078-0.11970187842860078j),(2000+0j)
0.8721721721721722,(0.9090909090909092-0.09090909090909091j),(1521.3685958230506+0j),(1.0423296432707658-0.10423296432707659j),(1744.3443443443446+0j),(1.1950961937650577-0.11950961937650575j),(2000+0j)
0.872872872872873,(0.9090909090909092-0.09090909090909094j),(1523.8141043946853+0j),(1.0414929107589657-0.10414929107589656j),(1745.745745745746+0j),(1.1931782314773012-0.11931782314773012j),(2000+0j)
0.8735735735735736,(0.9090909090909091-0.09090909090909091j),(1526.2615768922074+0j),(1.040657520547517-0.10406575205475171j),(1747.147147147147+0j),(1.1912648825793166-0.11912648825793165j),(2000+0j)
0.8742742742742743,(0.9090909090909091-0.0909090909090909j),(1528.711013315618+0j),(1.0398234694089972-0.10398234694089974j),(1748.5485485485485+0j),(1.18935613228714-0.11893561322871399j),(2000+0j)
0.874974974974975,(0.9090909090909091-0.09090909090909093j),(1531.1624136649161+0j),(1.038990754126322-0.1038990754126322j),(1749.94994994995+0j),(1.187451965875982-0.11874519658759819j),(2000+0j)
0.8756756756756757,(0.9090909090909092-0.09090909090909091j),(1533.6157779401026+0j),(1.0381593714927047-0.10381593714927048j),(1751.3513513513515+0j),(1.1855523686799405-0.11855523686799407j),(2000+0j)
0.8763763763763764,(0.9090909090909092-0.09090909090909094j),(1536.0711061411764+0j),(1.0373293183116141-0.1037329318311614j),(1752.752752752753+0j),(1.1836573260917216-0.11836573260917219j),(2000+0j)
0.8770770770770772,(0.9090909090909088-0.09090909090909088j),(1538.5283982681383+0j),(1.0365005913967336-0.10365005913967335j),(1754.1541541541544+0j),(1.1817668235623564-0.11817668235623566j),(2000+0j)
0.8777777777777778,(0.9090909090909092-0.09090909090909093j),(1540.9876543209878+0j),(1.0356731875719216-0.10356731875719216j),(1755.5555555555554+0j),(1.1798808466009234-0.11798808466009233j),(2000+0j)
0.8784784784784785,(0.9090909090909092-0.09090909090909093j),(1543.4488742997253+0j),(1.0348471036711693-0.10348471036711693j),(1756.956956956957+0j),(1.1779993807742686-0.11779993807742686j),(2000+0j)
0.8791791791791792,(0.9090909090909091-0.09090909090909091j),(1545.9120582043506+0j),(1.034022336538561-0.10340223365385609j),(1758.3583583583584+0j),(1.1761224117067315-0.11761224117067315j),(2000+0j)
0.8798798798798799,(0.9090909090909092-0.0909090909090909j),(1548.377206034864+0j),(1.0331988830282344-0.10331988830282343j),(1759.7597597597598+0j),(1.1742499250798706-0.11742499250798707j),(2000+0j)
0.8805805805805806,(0.9090909090909091-0.09090909090909091j),(1550.844317791265+0j),(1.0323767400043404-0.10323767400043404j),(1761.1611611611613+0j),(1.1723819066321879-0.11723819066321879j),(2000+0j)
0.8812812812812814,(0.9090909090909092-0.09090909090909091j),(1553.313393473554+0j),(1.0315559043410019-0.10315559043410016j),(1762.5625625625628+0j),(1.1705183421588603-0.11705183421588605j),(2000+0j)
0.8819819819819821,(0.9090909090909092-0.09090909090909091j),(1555.7844330817309+0j),(1.030736372922277-0.1030736372922277j),(1763.9639639639643+0j),(1.1686592175114678-0.1168659217511468j),(2000+0j)
0.8826826826826827,(0.9090909090909091-0.09090909090909093j),(1558.257436615795+0j),(1.029918142642116-0.10299181426421161j),(1765.3653653653653+0j),(1.1668045185977252-0.11668045185977252j),(2000+0j)
0.8833833833833834,(0.9090909090909091-0.0909090909090909j),(1560.7324040757476+0j),(1.0291012104043264-0.10291012104043264j),(1766.7667667667668+0j),(1.164954231381215-0.1164954231381215j),(2000+0j)
