t,Bus 0: voltage magnitude,Bus 1: voltage magnitude,Bus 2: voltage magnitude,Transformer $u_\mathrm{l}$
66.33500000000001,1.0478266982896842,1.046790451861764,0.9028225652737584,1.1600000000000001
66.34,1.047817405309151,1.0467796467528216,0.9028112968424851,1.1600000000000001
66.345,1.0478081114841988,1.0467688413464182,0.9028000288696342,1.1600000000000001
66.35,1.0477988168089083,1.046758035628973,0.9027887613365154,1.1600000000000001
66.355,1.0477895212774222,1.0467472295869973,0.902777494224558,1.1600000000000001
66.36,1.0477802248839598,1.0467364232071221,0.902766227515349,1.1600000000000001
66.365,1.0477709276228362,1.046725616476133,0.9027549611906756,1.1600000000000001
66.37,1.0477616294884768,1.046714809380997,0.9027436952325613,1.1600000000000001
66.375,1.0477523304754326,1.046704001908895,0.9027324296233056,1.1600000000000001
66.38,1.0477430305783952,1.0466931940472504,0.9027211643455205,1.1600000000000001
66.385,1.047733729792215,1.0466823857837564,0.9027098993821665,1.1600000000000001
66.39,1.0477244281119098,1.0466715771064055,0.9026986347165875,1.1600000000000001
66.395,1.047715125532683,1.0466607680035138,0.9026873703325431,1.1600000000000001
66.4,1.0477058220499353,1.046649958463747,0.9026761062142435,1.1600000000000001
66.405,1.0476965176592774,1.0466391484761473,0.9026648423463787,1.1600000000000001
66.41,1.0476872123565406,1.046628338030152,0.9026535787141479,1.1600000000000001
66.415,1.0476779061377914,1.0466175271156215,0.9026423153032894,1.1600000000000001
66.42,1.0476685989993397,1.0466067157228556,0.9026310521001059,1.1600000000000001
66.425,1.0476592909377491,1.046595903842616,0.902619789091491,1.1600000000000001
66.43,1.0476499819498477,1.046585091466146,0.9026085262649525,1.1600000000000001
66.435,1.0476406720327365,1.0465742785851848,0.902597263608634,1.1600000000000001
66.44,1.0476313611837964,1.0465634651919866,0.9025860011113362,1.1600000000000001
66.44500000000001,1.0476220494006958,1.0465526512793344,0.9025747387625359,1.1600000000000001
66.45,1.0476127366814003,1.0465418368405544,0.9025634765524039,1.1600000000000001
66.455,1.047603423024174,1.0465310218695267,0.9025522144718179,1.1600000000000001
66.46000000000001,1.047594108427589,1.0465202063606998,0.9025409525123811,1.1600000000000001
66.465,1.047584792890526,1.046509390309095,0.9025296906664287,1.1600000000000001
66.47,1.0475754764121816,1.0464985737103203,0.9025184289270438,1.1600000000000001
66.475,1.04756615899207,1.046487756560574,0.9025071672880624,1.1600000000000001
66.48,1.0475568406300249,1.04647693885665,0.9024959057440819,1.1600000000000001
66.485,1.0475475213262013,1.0464661205959456,0.9024846442904673,1.1600000000000001
66.49,1.047538201081077,1.0464553017764593,0.9024733829233523,1.1600000000000001
